Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
"$558,900","205 W Maple St APT 10, Glendale, CA 91204",205 W Maple St APT 10,Glendale,CA,91204,2,3,900,"8,689 sqft",8689.0,Townhouse,1990,2 Garage spaces,$200 monthly,"$584,200","$2,434/mo",$621,https://www.zillow.com/homedetails/205-W-Maple-St-APT-10-Glendale-CA-91204/66674851_zpid/
"$648,900","6258 Nita Ave, Los Angeles, CA 91367",6258 Nita Ave,LosAngeles,CA,91367,2,2,"1,416",2.91 Acres,126759.6,Townhouse,1973,2 Parking spaces,$340 monthly,"$603,600","$2,999/mo",$458,https://www.zillow.com/homedetails/6258-Nita-Ave-Los-Angeles-CA-91367/19929523_zpid/
"$579,900","5269 Colodny Dr UNIT 8, Agoura Hills, CA 91301",5269 Colodny Dr UNIT 8,AgouraHills,CA,91301,3,3,"1,215",1.86 Acres,81021.6,Townhouse,1979,2 Garage spaces,$345 monthly,"$589,800","$3,266/mo",$477,https://www.zillow.com/homedetails/5269-Colodny-Dr-UNIT-8-Agoura-Hills-CA-91301/19888585_zpid/
"$637,900","22771 Walnut Park Ln, Santa Clarita, CA 91321",22771 Walnut Park Ln,SantaClarita,CA,91321,4,3,"1,664",1.10 Acres,47916.0,Townhouse,2017,2 Parking spaces,$116 monthly,"$637,800","$3,313/mo",$383,https://www.zillow.com/homedetails/22771-Walnut-Park-Ln-Santa-Clarita-CA-91321/250346233_zpid/
"$511,900","24327 Avenida De Los Ninos #22, Laguna Niguel, CA 92677",24327 Avenida De Los Ninos #22,LagunaNiguel,CA,92677,2,3,"1,024",No Data,null,Townhouse,1984,1 Garage space,$475 monthly,"$532,400","$2,460/mo",$500,https://www.zillow.com/homedetails/24327-Avenida-De-Los-Ninos-22-Laguna-Niguel-CA-92677/25754103_zpid/
"$826,200","418 Carmel Creeper Pl, Encinitas, CA 92024",418 Carmel Creeper Pl,Encinitas,CA,92024,2,3,"1,088",1.42 Acres,61855.2,Townhouse,1999,1 Garage space,$231 monthly,"$850,341","$3,134/mo",$759,https://www.zillow.com/homedetails/418-Carmel-Creeper-Pl-Encinitas-CA-92024/16714009_zpid/
"$646,900","574 S Melrose St, Anaheim, CA 92805",574 S Melrose St,Anaheim,CA,92805,2,2,"1,230",No Data,null,Townhouse,2012,2 Garage spaces,$227 monthly,"$664,500","$2,600/mo",$526,https://www.zillow.com/homedetails/574-S-Melrose-St-Anaheim-CA-92805/137355612_zpid/
"$869,900","2435 Orange Ave APT A1, Costa Mesa, CA 92627",2435 Orange Ave APT A1,CostaMesa,CA,92627,3,3,"1,342","1,873 sqft",1873.0,Townhouse,1984,2 Garage spaces,$301 monthly,"$902,626","$3,528/mo",$648,https://www.zillow.com/homedetails/2435-Orange-Ave-APT-A1-Costa-Mesa-CA-92627/25477371_zpid/
"$569,900","2021 Haller St #1, San Diego, CA 92104",2021 Haller St #1,SanDiego,CA,92104,2,3,"1,302","1,171 sqft",1171.0,Townhouse,1986,Carport,$190 monthly,"$584,327","$3,204/mo",$438,https://www.zillow.com/homedetails/2021-Haller-St-1-San-Diego-CA-92104/2080115471_zpid/
"$558,900","205 W Maple St APT 10, Glendale, CA 91204",205 W Maple St APT 10,Glendale,CA,91204,2,3,900,"8,689 sqft",8689.0,Townhouse,1990,2 Garage spaces,$200 monthly,"$584,200","$2,434/mo",$621,https://www.zillow.com/homedetails/205-W-Maple-St-APT-10-Glendale-CA-91204/66674851_zpid/
"$648,900","6258 Nita Ave, Los Angeles, CA 91367",6258 Nita Ave,LosAngeles,CA,91367,2,2,"1,416",2.91 Acres,126759.6,Townhouse,1973,2 Parking spaces,$340 monthly,"$603,600","$2,999/mo",$458,https://www.zillow.com/homedetails/6258-Nita-Ave-Los-Angeles-CA-91367/19929523_zpid/
"$579,900","5269 Colodny Dr UNIT 8, Agoura Hills, CA 91301",5269 Colodny Dr UNIT 8,AgouraHills,CA,91301,3,3,"1,215",1.86 Acres,81021.6,Townhouse,1979,2 Garage spaces,$345 monthly,"$589,800","$3,266/mo",$477,https://www.zillow.com/homedetails/5269-Colodny-Dr-UNIT-8-Agoura-Hills-CA-91301/19888585_zpid/
"$637,900","22771 Walnut Park Ln, Santa Clarita, CA 91321",22771 Walnut Park Ln,SantaClarita,CA,91321,4,3,"1,664",1.10 Acres,47916.0,Townhouse,2017,2 Parking spaces,$116 monthly,"$637,800","$3,313/mo",$383,https://www.zillow.com/homedetails/22771-Walnut-Park-Ln-Santa-Clarita-CA-91321/250346233_zpid/
"$511,900","24327 Avenida De Los Ninos #22, Laguna Niguel, CA 92677",24327 Avenida De Los Ninos #22,LagunaNiguel,CA,92677,2,3,"1,024",No Data,null,Townhouse,1984,1 Garage space,$475 monthly,"$532,400","$2,460/mo",$500,https://www.zillow.com/homedetails/24327-Avenida-De-Los-Ninos-22-Laguna-Niguel-CA-92677/25754103_zpid/
"$826,200","418 Carmel Creeper Pl, Encinitas, CA 92024",418 Carmel Creeper Pl,Encinitas,CA,92024,2,3,"1,088",1.42 Acres,61855.2,Townhouse,1999,1 Garage space,$231 monthly,"$850,341","$3,134/mo",$759,https://www.zillow.com/homedetails/418-Carmel-Creeper-Pl-Encinitas-CA-92024/16714009_zpid/
"$646,900","574 S Melrose St, Anaheim, CA 92805",574 S Melrose St,Anaheim,CA,92805,2,2,"1,230",No Data,null,Townhouse,2012,2 Garage spaces,$227 monthly,"$664,500","$2,600/mo",$526,https://www.zillow.com/homedetails/574-S-Melrose-St-Anaheim-CA-92805/137355612_zpid/
"$869,900","2435 Orange Ave APT A1, Costa Mesa, CA 92627",2435 Orange Ave APT A1,CostaMesa,CA,92627,3,3,"1,342","1,873 sqft",1873.0,Townhouse,1984,2 Garage spaces,$301 monthly,"$902,626","$3,528/mo",$648,https://www.zillow.com/homedetails/2435-Orange-Ave-APT-A1-Costa-Mesa-CA-92627/25477371_zpid/
"$569,900","2021 Haller St #1, San Diego, CA 92104",2021 Haller St #1,SanDiego,CA,92104,2,3,"1,302","1,171 sqft",1171.0,Townhouse,1986,Carport,$190 monthly,"$584,327","$3,204/mo",$438,https://www.zillow.com/homedetails/2021-Haller-St-1-San-Diego-CA-92104/2080115471_zpid/
"$558,900","205 W Maple St APT 10, Glendale, CA 91204",205 W Maple St APT 10,Glendale,CA,91204,2,3,900,"8,689 sqft",8689.0,Townhouse,1990,2 Garage spaces,$200 monthly,"$584,200","$2,434/mo",$621,https://www.zillow.com/homedetails/205-W-Maple-St-APT-10-Glendale-CA-91204/66674851_zpid/
"$648,900","6258 Nita Ave, Los Angeles, CA 91367",6258 Nita Ave,LosAngeles,CA,91367,2,2,"1,416",2.91 Acres,126759.6,Townhouse,1973,2 Parking spaces,$340 monthly,"$603,600","$2,999/mo",$458,https://www.zillow.com/homedetails/6258-Nita-Ave-Los-Angeles-CA-91367/19929523_zpid/
"$579,900","5269 Colodny Dr UNIT 8, Agoura Hills, CA 91301",5269 Colodny Dr UNIT 8,AgouraHills,CA,91301,3,3,"1,215",1.86 Acres,81021.6,Townhouse,1979,2 Garage spaces,$345 monthly,"$589,800","$3,266/mo",$477,https://www.zillow.com/homedetails/5269-Colodny-Dr-UNIT-8-Agoura-Hills-CA-91301/19888585_zpid/
"$637,900","22771 Walnut Park Ln, Santa Clarita, CA 91321",22771 Walnut Park Ln,SantaClarita,CA,91321,4,3,"1,664",1.10 Acres,47916.0,Townhouse,2017,2 Parking spaces,$116 monthly,"$637,800","$3,313/mo",$383,https://www.zillow.com/homedetails/22771-Walnut-Park-Ln-Santa-Clarita-CA-91321/250346233_zpid/
"$511,900","24327 Avenida De Los Ninos #22, Laguna Niguel, CA 92677",24327 Avenida De Los Ninos #22,LagunaNiguel,CA,92677,2,3,"1,024",No Data,null,Townhouse,1984,1 Garage space,$475 monthly,"$532,400","$2,460/mo",$500,https://www.zillow.com/homedetails/24327-Avenida-De-Los-Ninos-22-Laguna-Niguel-CA-92677/25754103_zpid/
"$826,200","418 Carmel Creeper Pl, Encinitas, CA 92024",418 Carmel Creeper Pl,Encinitas,CA,92024,2,3,"1,088",1.42 Acres,61855.2,Townhouse,1999,1 Garage space,$231 monthly,"$850,341","$3,134/mo",$759,https://www.zillow.com/homedetails/418-Carmel-Creeper-Pl-Encinitas-CA-92024/16714009_zpid/
"$646,900","574 S Melrose St, Anaheim, CA 92805",574 S Melrose St,Anaheim,CA,92805,2,2,"1,230",No Data,null,Townhouse,2012,2 Garage spaces,$227 monthly,"$664,500","$2,600/mo",$526,https://www.zillow.com/homedetails/574-S-Melrose-St-Anaheim-CA-92805/137355612_zpid/
"$869,900","2435 Orange Ave APT A1, Costa Mesa, CA 92627",2435 Orange Ave APT A1,CostaMesa,CA,92627,3,3,"1,342","1,873 sqft",1873.0,Townhouse,1984,2 Garage spaces,$301 monthly,"$902,626","$3,528/mo",$648,https://www.zillow.com/homedetails/2435-Orange-Ave-APT-A1-Costa-Mesa-CA-92627/25477371_zpid/
"$569,900","2021 Haller St #1, San Diego, CA 92104",2021 Haller St #1,SanDiego,CA,92104,2,3,"1,302","1,171 sqft",1171.0,Townhouse,1986,Carport,$190 monthly,"$584,327","$3,204/mo",$438,https://www.zillow.com/homedetails/2021-Haller-St-1-San-Diego-CA-92104/2080115471_zpid/
"$558,900","205 W Maple St APT 10, Glendale, CA 91204",205 W Maple St APT 10,Glendale,CA,91204,2,3,900,"8,689 sqft",8689.0,Townhouse,1990,2 Garage spaces,$200 monthly,"$584,200","$2,434/mo",$621,https://www.zillow.com/homedetails/205-W-Maple-St-APT-10-Glendale-CA-91204/66674851_zpid/
"$648,900","6258 Nita Ave, Los Angeles, CA 91367",6258 Nita Ave,LosAngeles,CA,91367,2,2,"1,416",2.91 Acres,126759.6,Townhouse,1973,2 Parking spaces,$340 monthly,"$603,600","$2,999/mo",$458,https://www.zillow.com/homedetails/6258-Nita-Ave-Los-Angeles-CA-91367/19929523_zpid/
"$579,900","5269 Colodny Dr UNIT 8, Agoura Hills, CA 91301",5269 Colodny Dr UNIT 8,AgouraHills,CA,91301,3,3,"1,215",1.86 Acres,81021.6,Townhouse,1979,2 Garage spaces,$345 monthly,"$589,800","$3,266/mo",$477,https://www.zillow.com/homedetails/5269-Colodny-Dr-UNIT-8-Agoura-Hills-CA-91301/19888585_zpid/
"$637,900","22771 Walnut Park Ln, Santa Clarita, CA 91321",22771 Walnut Park Ln,SantaClarita,CA,91321,4,3,"1,664",1.10 Acres,47916.0,Townhouse,2017,2 Parking spaces,$116 monthly,"$637,800","$3,313/mo",$383,https://www.zillow.com/homedetails/22771-Walnut-Park-Ln-Santa-Clarita-CA-91321/250346233_zpid/
"$511,900","24327 Avenida De Los Ninos #22, Laguna Niguel, CA 92677",24327 Avenida De Los Ninos #22,LagunaNiguel,CA,92677,2,3,"1,024",No Data,null,Townhouse,1984,1 Garage space,$475 monthly,"$532,400","$2,460/mo",$500,https://www.zillow.com/homedetails/24327-Avenida-De-Los-Ninos-22-Laguna-Niguel-CA-92677/25754103_zpid/
"$826,200","418 Carmel Creeper Pl, Encinitas, CA 92024",418 Carmel Creeper Pl,Encinitas,CA,92024,2,3,"1,088",1.42 Acres,61855.2,Townhouse,1999,1 Garage space,$231 monthly,"$850,341","$3,134/mo",$759,https://www.zillow.com/homedetails/418-Carmel-Creeper-Pl-Encinitas-CA-92024/16714009_zpid/
"$646,900","574 S Melrose St, Anaheim, CA 92805",574 S Melrose St,Anaheim,CA,92805,2,2,"1,230",No Data,null,Townhouse,2012,2 Garage spaces,$227 monthly,"$664,500","$2,600/mo",$526,https://www.zillow.com/homedetails/574-S-Melrose-St-Anaheim-CA-92805/137355612_zpid/
"$869,900","2435 Orange Ave APT A1, Costa Mesa, CA 92627",2435 Orange Ave APT A1,CostaMesa,CA,92627,3,3,"1,342","1,873 sqft",1873.0,Townhouse,1984,2 Garage spaces,$301 monthly,"$902,626","$3,528/mo",$648,https://www.zillow.com/homedetails/2435-Orange-Ave-APT-A1-Costa-Mesa-CA-92627/25477371_zpid/
"$569,900","2021 Haller St #1, San Diego, CA 92104",2021 Haller St #1,SanDiego,CA,92104,2,3,"1,302","1,171 sqft",1171.0,Townhouse,1986,Carport,$190 monthly,"$584,327","$3,204/mo",$438,https://www.zillow.com/homedetails/2021-Haller-St-1-San-Diego-CA-92104/2080115471_zpid/
"$558,900","205 W Maple St APT 10, Glendale, CA 91204",205 W Maple St APT 10,Glendale,CA,91204,2,3,900,"8,689 sqft",8689.0,Townhouse,1990,2 Garage spaces,$200 monthly,"$584,200","$2,434/mo",$621,https://www.zillow.com/homedetails/205-W-Maple-St-APT-10-Glendale-CA-91204/66674851_zpid/
"$648,900","6258 Nita Ave, Los Angeles, CA 91367",6258 Nita Ave,LosAngeles,CA,91367,2,2,"1,416",2.91 Acres,126759.6,Townhouse,1973,2 Parking spaces,$340 monthly,"$603,600","$2,999/mo",$458,https://www.zillow.com/homedetails/6258-Nita-Ave-Los-Angeles-CA-91367/19929523_zpid/
"$579,900","5269 Colodny Dr UNIT 8, Agoura Hills, CA 91301",5269 Colodny Dr UNIT 8,AgouraHills,CA,91301,3,3,"1,215",1.86 Acres,81021.6,Townhouse,1979,2 Garage spaces,$345 monthly,"$589,800","$3,266/mo",$477,https://www.zillow.com/homedetails/5269-Colodny-Dr-UNIT-8-Agoura-Hills-CA-91301/19888585_zpid/
"$637,900","22771 Walnut Park Ln, Santa Clarita, CA 91321",22771 Walnut Park Ln,SantaClarita,CA,91321,4,3,"1,664",1.10 Acres,47916.0,Townhouse,2017,2 Parking spaces,$116 monthly,"$637,800","$3,313/mo",$383,https://www.zillow.com/homedetails/22771-Walnut-Park-Ln-Santa-Clarita-CA-91321/250346233_zpid/
"$511,900","24327 Avenida De Los Ninos #22, Laguna Niguel, CA 92677",24327 Avenida De Los Ninos #22,LagunaNiguel,CA,92677,2,3,"1,024",No Data,null,Townhouse,1984,1 Garage space,$475 monthly,"$532,400","$2,460/mo",$500,https://www.zillow.com/homedetails/24327-Avenida-De-Los-Ninos-22-Laguna-Niguel-CA-92677/25754103_zpid/
"$826,200","418 Carmel Creeper Pl, Encinitas, CA 92024",418 Carmel Creeper Pl,Encinitas,CA,92024,2,3,"1,088",1.42 Acres,61855.2,Townhouse,1999,1 Garage space,$231 monthly,"$850,341","$3,134/mo",$759,https://www.zillow.com/homedetails/418-Carmel-Creeper-Pl-Encinitas-CA-92024/16714009_zpid/
"$646,900","574 S Melrose St, Anaheim, CA 92805",574 S Melrose St,Anaheim,CA,92805,2,2,"1,230",No Data,null,Townhouse,2012,2 Garage spaces,$227 monthly,"$664,500","$2,600/mo",$526,https://www.zillow.com/homedetails/574-S-Melrose-St-Anaheim-CA-92805/137355612_zpid/
"$869,900","2435 Orange Ave APT A1, Costa Mesa, CA 92627",2435 Orange Ave APT A1,CostaMesa,CA,92627,3,3,"1,342","1,873 sqft",1873.0,Townhouse,1984,2 Garage spaces,$301 monthly,"$902,626","$3,528/mo",$648,https://www.zillow.com/homedetails/2435-Orange-Ave-APT-A1-Costa-Mesa-CA-92627/25477371_zpid/
"$569,900","2021 Haller St #1, San Diego, CA 92104",2021 Haller St #1,SanDiego,CA,92104,2,3,"1,302","1,171 sqft",1171.0,Townhouse,1986,Carport,$190 monthly,"$584,327","$3,204/mo",$438,https://www.zillow.com/homedetails/2021-Haller-St-1-San-Diego-CA-92104/2080115471_zpid/
