Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
"$395,500","26533 Calle San Luis #83B, San Juan Capistrano, CA 92675",26533 Calle San Luis #83B,SanJuanCapistrano,CA,92675,2,1,897,null,null,Condominium,1971,1 Parking space,$280 monthly,"$398,862","$2,509/mo",$441,https://www.zillow.com/homedetails/26533-Calle-San-Luis-83B-San-Juan-Capistrano-CA-92675/25678048_zpid/
"$395,900","2825 S Fairview St UNIT F, Santa Ana, CA 92704",2825 S Fairview St UNIT F,SantaAna,CA,92704,2,2,796,null,null,Condominium,1974,No Data,$299 monthly,"$406,100","$2,135/mo",$497,https://www.zillow.com/homedetails/2825-S-Fairview-St-UNIT-F-Santa-Ana-CA-92704/25673931_zpid/
"$728,000","10 Partridge Ln, Aliso Viejo, CA 92656",10 Partridge Ln,AlisoViejo,CA,92656,3,3,"1,400",null,null,Condominium,1995,2 Parking spaces,$408 monthly,"$761,956","$3,234/mo",$520,https://www.zillow.com/homedetails/10-Partridge-Ln-Aliso-Viejo-CA-92656/25761780_zpid/
"$635,000","7758 Caminito Monarca UNIT 106, Carlsbad, CA 92009",7758 Caminito Monarca UNIT 106,Carlsbad,CA,92009,2,3,"1,200",null,null,Condominium,1990,1 Garage space,$390 monthly,"$624,000","$2,799/mo",$529,https://www.zillow.com/homedetails/7758-Caminito-Monarca-UNIT-106-Carlsbad-CA-92009/16661398_zpid/
"$451,200","20000 Plum Canyon Rd UNIT 1726, Santa Clarita, CA 91350",20000 Plum Canyon Rd UNIT 1726,SantaClarita,CA,91350,2,2,"1,001",null,null,Condominium,2001,1 Parking space,$298 monthly,"$466,574","$2,432/mo",$451,https://www.zillow.com/homedetails/20000-Plum-Canyon-Rd-UNIT-1726-Santa-Clarita-CA-91350/63788552_zpid/
"$448,900","15214 S Raymond Ave APT 102, Gardena, CA 90247",15214 S Raymond Ave APT 102,Gardena,CA,90247,2,2,"1,045",null,null,Condominium,1978,2 Carport spaces,$290 monthly,"$461,800","$2,589/mo",$430,https://www.zillow.com/homedetails/15214-S-Raymond-Ave-APT-102-Gardena-CA-90247/20984325_zpid/
"$511,300","11124 Burbank Blvd APT 303, North Hollywood, CA 91601",11124 Burbank Blvd APT 303,NorthHollywood,CA,91601,2,2,"1,040",null,null,Condominium,2005,2 Parking spaces,$351 monthly,"$524,382","$2,600/mo",$492,https://www.zillow.com/homedetails/11124-Burbank-Blvd-APT-303-North-Hollywood-CA-91601/68985542_zpid/
"$674,900","20342 Bridgeside Ln UNIT 204, Huntington Beach, CA 92646",20342 Bridgeside Ln UNIT 204,HuntingtonBeach,CA,92646,2,2,"1,104",null,null,Condominium,1987,1 Parking space,$546 monthly,"$669,500","$2,699/mo",$611,https://www.zillow.com/homedetails/20342-Bridgeside-Ln-UNIT-204-Huntington-Beach-CA-92646/25724527_zpid/
"$294,900","8901 Salmon Falls Dr APT D, Sacramento, CA 95826",8901 Salmon Falls Dr APT D,Sacramento,CA,95826,2,1,897,null,null,Condominium,1976,1 Carport space,$215 monthly,"$307,200","$1,562/mo",$329,https://www.zillow.com/homedetails/8901-Salmon-Falls-Dr-APT-D-Sacramento-CA-95826/25897932_zpid/
"$395,500","26533 Calle San Luis #83B, San Juan Capistrano, CA 92675",26533 Calle San Luis #83B,SanJuanCapistrano,CA,92675,2,1,897,null,null,Condominium,1971,1 Parking space,$280 monthly,"$398,862","$2,509/mo",$441,https://www.zillow.com/homedetails/26533-Calle-San-Luis-83B-San-Juan-Capistrano-CA-92675/25678048_zpid/
"$395,900","2825 S Fairview St UNIT F, Santa Ana, CA 92704",2825 S Fairview St UNIT F,SantaAna,CA,92704,2,2,796,null,null,Condominium,1974,No Data,$299 monthly,"$406,100","$2,135/mo",$497,https://www.zillow.com/homedetails/2825-S-Fairview-St-UNIT-F-Santa-Ana-CA-92704/25673931_zpid/
"$728,000","10 Partridge Ln, Aliso Viejo, CA 92656",10 Partridge Ln,AlisoViejo,CA,92656,3,3,"1,400",null,null,Condominium,1995,2 Parking spaces,$408 monthly,"$761,956","$3,234/mo",$520,https://www.zillow.com/homedetails/10-Partridge-Ln-Aliso-Viejo-CA-92656/25761780_zpid/
"$635,000","7758 Caminito Monarca UNIT 106, Carlsbad, CA 92009",7758 Caminito Monarca UNIT 106,Carlsbad,CA,92009,2,3,"1,200",null,null,Condominium,1990,1 Garage space,$390 monthly,"$624,000","$2,799/mo",$529,https://www.zillow.com/homedetails/7758-Caminito-Monarca-UNIT-106-Carlsbad-CA-92009/16661398_zpid/
"$451,200","20000 Plum Canyon Rd UNIT 1726, Santa Clarita, CA 91350",20000 Plum Canyon Rd UNIT 1726,SantaClarita,CA,91350,2,2,"1,001",null,null,Condominium,2001,1 Parking space,$298 monthly,"$466,574","$2,432/mo",$451,https://www.zillow.com/homedetails/20000-Plum-Canyon-Rd-UNIT-1726-Santa-Clarita-CA-91350/63788552_zpid/
"$448,900","15214 S Raymond Ave APT 102, Gardena, CA 90247",15214 S Raymond Ave APT 102,Gardena,CA,90247,2,2,"1,045",null,null,Condominium,1978,2 Carport spaces,$290 monthly,"$461,800","$2,589/mo",$430,https://www.zillow.com/homedetails/15214-S-Raymond-Ave-APT-102-Gardena-CA-90247/20984325_zpid/
"$511,300","11124 Burbank Blvd APT 303, North Hollywood, CA 91601",11124 Burbank Blvd APT 303,NorthHollywood,CA,91601,2,2,"1,040",null,null,Condominium,2005,2 Parking spaces,$351 monthly,"$524,382","$2,600/mo",$492,https://www.zillow.com/homedetails/11124-Burbank-Blvd-APT-303-North-Hollywood-CA-91601/68985542_zpid/
"$674,900","20342 Bridgeside Ln UNIT 204, Huntington Beach, CA 92646",20342 Bridgeside Ln UNIT 204,HuntingtonBeach,CA,92646,2,2,"1,104",null,null,Condominium,1987,1 Parking space,$546 monthly,"$669,500","$2,699/mo",$611,https://www.zillow.com/homedetails/20342-Bridgeside-Ln-UNIT-204-Huntington-Beach-CA-92646/25724527_zpid/
"$294,900","8901 Salmon Falls Dr APT D, Sacramento, CA 95826",8901 Salmon Falls Dr APT D,Sacramento,CA,95826,2,1,897,null,null,Condominium,1976,1 Carport space,$215 monthly,"$307,200","$1,562/mo",$329,https://www.zillow.com/homedetails/8901-Salmon-Falls-Dr-APT-D-Sacramento-CA-95826/25897932_zpid/
"$395,500","26533 Calle San Luis #83B, San Juan Capistrano, CA 92675",26533 Calle San Luis #83B,SanJuanCapistrano,CA,92675,2,1,897,null,null,Condominium,1971,1 Parking space,$280 monthly,"$398,862","$2,509/mo",$441,https://www.zillow.com/homedetails/26533-Calle-San-Luis-83B-San-Juan-Capistrano-CA-92675/25678048_zpid/
"$395,900","2825 S Fairview St UNIT F, Santa Ana, CA 92704",2825 S Fairview St UNIT F,SantaAna,CA,92704,2,2,796,null,null,Condominium,1974,No Data,$299 monthly,"$406,100","$2,135/mo",$497,https://www.zillow.com/homedetails/2825-S-Fairview-St-UNIT-F-Santa-Ana-CA-92704/25673931_zpid/
"$728,000","10 Partridge Ln, Aliso Viejo, CA 92656",10 Partridge Ln,AlisoViejo,CA,92656,3,3,"1,400",null,null,Condominium,1995,2 Parking spaces,$408 monthly,"$761,956","$3,234/mo",$520,https://www.zillow.com/homedetails/10-Partridge-Ln-Aliso-Viejo-CA-92656/25761780_zpid/
"$635,000","7758 Caminito Monarca UNIT 106, Carlsbad, CA 92009",7758 Caminito Monarca UNIT 106,Carlsbad,CA,92009,2,3,"1,200",null,null,Condominium,1990,1 Garage space,$390 monthly,"$624,000","$2,799/mo",$529,https://www.zillow.com/homedetails/7758-Caminito-Monarca-UNIT-106-Carlsbad-CA-92009/16661398_zpid/
"$451,200","20000 Plum Canyon Rd UNIT 1726, Santa Clarita, CA 91350",20000 Plum Canyon Rd UNIT 1726,SantaClarita,CA,91350,2,2,"1,001",null,null,Condominium,2001,1 Parking space,$298 monthly,"$466,574","$2,432/mo",$451,https://www.zillow.com/homedetails/20000-Plum-Canyon-Rd-UNIT-1726-Santa-Clarita-CA-91350/63788552_zpid/
"$448,900","15214 S Raymond Ave APT 102, Gardena, CA 90247",15214 S Raymond Ave APT 102,Gardena,CA,90247,2,2,"1,045",null,null,Condominium,1978,2 Carport spaces,$290 monthly,"$461,800","$2,589/mo",$430,https://www.zillow.com/homedetails/15214-S-Raymond-Ave-APT-102-Gardena-CA-90247/20984325_zpid/
"$511,300","11124 Burbank Blvd APT 303, North Hollywood, CA 91601",11124 Burbank Blvd APT 303,NorthHollywood,CA,91601,2,2,"1,040",null,null,Condominium,2005,2 Parking spaces,$351 monthly,"$524,382","$2,600/mo",$492,https://www.zillow.com/homedetails/11124-Burbank-Blvd-APT-303-North-Hollywood-CA-91601/68985542_zpid/
"$674,900","20342 Bridgeside Ln UNIT 204, Huntington Beach, CA 92646",20342 Bridgeside Ln UNIT 204,HuntingtonBeach,CA,92646,2,2,"1,104",null,null,Condominium,1987,1 Parking space,$546 monthly,"$669,500","$2,699/mo",$611,https://www.zillow.com/homedetails/20342-Bridgeside-Ln-UNIT-204-Huntington-Beach-CA-92646/25724527_zpid/
"$294,900","8901 Salmon Falls Dr APT D, Sacramento, CA 95826",8901 Salmon Falls Dr APT D,Sacramento,CA,95826,2,1,897,null,null,Condominium,1976,1 Carport space,$215 monthly,"$307,200","$1,562/mo",$329,https://www.zillow.com/homedetails/8901-Salmon-Falls-Dr-APT-D-Sacramento-CA-95826/25897932_zpid/
"$395,500","26533 Calle San Luis #83B, San Juan Capistrano, CA 92675",26533 Calle San Luis #83B,SanJuanCapistrano,CA,92675,2,1,897,null,null,Condominium,1971,1 Parking space,$280 monthly,"$398,862","$2,509/mo",$441,https://www.zillow.com/homedetails/26533-Calle-San-Luis-83B-San-Juan-Capistrano-CA-92675/25678048_zpid/
"$395,900","2825 S Fairview St UNIT F, Santa Ana, CA 92704",2825 S Fairview St UNIT F,SantaAna,CA,92704,2,2,796,null,null,Condominium,1974,No Data,$299 monthly,"$406,100","$2,135/mo",$497,https://www.zillow.com/homedetails/2825-S-Fairview-St-UNIT-F-Santa-Ana-CA-92704/25673931_zpid/
"$728,000","10 Partridge Ln, Aliso Viejo, CA 92656",10 Partridge Ln,AlisoViejo,CA,92656,3,3,"1,400",null,null,Condominium,1995,2 Parking spaces,$408 monthly,"$761,956","$3,234/mo",$520,https://www.zillow.com/homedetails/10-Partridge-Ln-Aliso-Viejo-CA-92656/25761780_zpid/
"$635,000","7758 Caminito Monarca UNIT 106, Carlsbad, CA 92009",7758 Caminito Monarca UNIT 106,Carlsbad,CA,92009,2,3,"1,200",null,null,Condominium,1990,1 Garage space,$390 monthly,"$624,000","$2,799/mo",$529,https://www.zillow.com/homedetails/7758-Caminito-Monarca-UNIT-106-Carlsbad-CA-92009/16661398_zpid/
"$451,200","20000 Plum Canyon Rd UNIT 1726, Santa Clarita, CA 91350",20000 Plum Canyon Rd UNIT 1726,SantaClarita,CA,91350,2,2,"1,001",null,null,Condominium,2001,1 Parking space,$298 monthly,"$466,574","$2,432/mo",$451,https://www.zillow.com/homedetails/20000-Plum-Canyon-Rd-UNIT-1726-Santa-Clarita-CA-91350/63788552_zpid/
"$448,900","15214 S Raymond Ave APT 102, Gardena, CA 90247",15214 S Raymond Ave APT 102,Gardena,CA,90247,2,2,"1,045",null,null,Condominium,1978,2 Carport spaces,$290 monthly,"$461,800","$2,589/mo",$430,https://www.zillow.com/homedetails/15214-S-Raymond-Ave-APT-102-Gardena-CA-90247/20984325_zpid/
"$511,300","11124 Burbank Blvd APT 303, North Hollywood, CA 91601",11124 Burbank Blvd APT 303,NorthHollywood,CA,91601,2,2,"1,040",null,null,Condominium,2005,2 Parking spaces,$351 monthly,"$524,382","$2,600/mo",$492,https://www.zillow.com/homedetails/11124-Burbank-Blvd-APT-303-North-Hollywood-CA-91601/68985542_zpid/
"$674,900","20342 Bridgeside Ln UNIT 204, Huntington Beach, CA 92646",20342 Bridgeside Ln UNIT 204,HuntingtonBeach,CA,92646,2,2,"1,104",null,null,Condominium,1987,1 Parking space,$546 monthly,"$669,500","$2,699/mo",$611,https://www.zillow.com/homedetails/20342-Bridgeside-Ln-UNIT-204-Huntington-Beach-CA-92646/25724527_zpid/
"$294,900","8901 Salmon Falls Dr APT D, Sacramento, CA 95826",8901 Salmon Falls Dr APT D,Sacramento,CA,95826,2,1,897,null,null,Condominium,1976,1 Carport space,$215 monthly,"$307,200","$1,562/mo",$329,https://www.zillow.com/homedetails/8901-Salmon-Falls-Dr-APT-D-Sacramento-CA-95826/25897932_zpid/
"$395,500","26533 Calle San Luis #83B, San Juan Capistrano, CA 92675",26533 Calle San Luis #83B,SanJuanCapistrano,CA,92675,2,1,897,null,null,Condominium,1971,1 Parking space,$280 monthly,"$398,862","$2,509/mo",$441,https://www.zillow.com/homedetails/26533-Calle-San-Luis-83B-San-Juan-Capistrano-CA-92675/25678048_zpid/
